Arduino Datalogger Output
Temperature and Relative Humidity Sensor Output
Measurements using a AM2301B Sensor
RecordNumber,Time_s,AvgTemperature_DegC,AvgHumidity_%
327,19620.00,19.34,42.34
328,19680.00,19.33,42.38
329,19740.00,19.32,42.37
330,19800.00,19.32,42.37
331,19860.00,19.32,42.38
332,19920.00,19.30,42.37
333,19980.00,19.29,42.38
334,20040.00,19.28,42.39
335,20100.00,19.28,42.38
336,20160.00,19.27,42.40
337,20220.00,19.25,42.37
338,20280.00,19.25,42.38
339,20340.00,19.24,42.37
340,20400.00,19.23,42.42
341,20460.00,19.23,42.40
342,20520.00,19.22,42.41
343,20580.00,19.22,42.43
344,20640.00,19.21,42.39
345,20700.00,19.20,42.44
346,20760.00,19.18,42.41
347,20820.00,19.18,42.42
348,20880.00,19.18,42.39
349,20940.00,19.17,42.43
350,21000.00,19.17,42.42
351,21060.00,19.15,42.46
352,21120.00,19.14,42.43
353,21180.00,19.14,42.44
354,21240.00,19.14,42.43
355,21300.00,19.12,42.44
356,21360.00,19.13,42.47
357,21420.00,19.11,42.43
358,21480.00,19.10,42.45
359,21540.00,19.10,42.46
360,21600.00,19.09,42.46
361,21660.00,19.09,42.47
362,21720.00,19.08,42.50
363,21780.00,19.06,42.47
364,21840.00,19.07,42.49
365,21900.00,19.07,42.48
366,21960.00,19.07,42.51
367,22020.00,19.07,42.51
368,22080.00,19.06,42.47
369,22140.00,19.06,42.50
370,22200.00,19.04,42.49
371,22260.00,19.04,42.51
372,22320.00,19.03,42.54
373,22380.00,19.03,42.58
374,22440.00,19.02,42.58
375,22500.00,19.02,42.60
376,22560.00,19.02,42.62
377,22620.00,19.02,42.58
378,22680.00,19.01,42.60
379,22740.00,18.98,42.60
380,22800.00,18.99,42.60
381,22860.00,18.99,42.62
382,22920.00,18.97,42.60
383,22980.00,18.96,42.57
384,23040.00,18.96,42.54
385,23100.00,18.96,42.59
386,23160.00,18.95,42.57
387,23220.00,18.94,42.56
388,23280.00,18.95,42.58
